message,message_length,hour_published,num_likes,num_comments,num_shares,published,year_published,month_published,page
"เช้านี้มามอนิ่ง เช้า วัน อังคารเร็วหน่อย

เพราะวันนี้คุณนายแม่ จะเข้ารับการแปลงร่าง เป็น X-men ใส่โลหะผสม Adamantium เข้าไปในแขนฝา 
เมื่อเวลาโกรธจะมีกรงเล็บเหล็กออกมาทางสันหมัดได้ เวลาบาดเจ็บจะรักษาตัวเองได้เร็วกว่าคนแก่ธรรมดา และด่าลูกได้เร็วขึ้นด้วย

วันนี้อาจจะต้องขอโดดเพจอีกวันนะ เพื่อไปควบคุมการแปลงร่างแม่ 555555 
ขอสร้างภาพเป็น Looktidy อีกหนึ่งวัน หวังว่าพี่ๆจะเข้าใจ

รักนะ <3",386,18,37975,1820,32,2016-01-11 18:49:16.000000 UTC,2016,1,ejeab
"ไม่ไหวนะครับ คนที่มีทัศนคติแบบนี้
กลับเนื้อกลับตัวนะมึง อีเจี๊ยบ เลียบด่วน",74,5,2385,107,31,2016-01-12 05:14:24.000000 UTC,2016,1,dramaadd
"กาลามสูตรข้อที่เก้า มา ภพฺพรูปตา อย่าปลงใจเชื่อ เพราะผู้พูดมีลักษณะน่าเชื่อถือ

ทุกวันนี้มันมีประเด็นเรื่องเหลือเชื่อลี้ลับอิทธิฤทธิ์ปาฎิหารย์เยอะนะครับ ติดตามข่าวต้องระมัดระวังด้วย เพราะคนไทยส่วนมากไม่ได้พิจารณาว่าไอ้เรื่องนั้นมันน่าเชื่อถือหรือไม่จากเนื้อหาสาระ แต่พิจารณาจากว่าคนพูดคือใคร ถ้าเป็นคนพูดที่มีวุฒิการศึกษาดี ระดับด๊อกเตอร์มั่ง ศาสตราจารย์มั่ง คนก็มักจะเชื่อกันเยอะ ถึงจะเป็นเรื่องไร้สาระที่ฟังแล้วไม่น่าจะให้ราคาเท่าไหร่ก็เหอะ

จำสมัยเปรตกู้ได้ไหมครับ ที่ตอนนั้นมันเอาคนรูปร่างสูงผอม มาแต่งตัวแบบในภาพเนี่ย แล้วยืนกลางป่าช้า จากนั้นก็ชูมือขึ้นแล้วหมุนๆ ชูมือขึ้นโบกไปมา กางแขนมือแตะเอว กางแขนมือแตะไหล่ หลอกสานุศิษย์มันให้ไปดูแล้วบอกว่านั่นไงผีเปรตมีจริง จากนั้นพวกสานุศิษย์ก็กราบไหว้บูชาเจ้าหมอผีกำมะลอนี่เป็นบ้าเป็นหลัง

ที่น่าตกใจคือ คนที่เป็นสานุศิษย์มันนี่คนดัง คนมีการศึกษา เรียนจบสูง อื้อซ่าเลยนะ ถถถถถถถถถถถถถถถถถถถถถถถถถ

เรื่องมนุษย์ต่างดาวก็เช่นกันครับ ถถถถถถถ",887,9,2136,91,27,2016-01-12 09:39:37.000000 UTC,2016,1,dramaadd
"น่าจะมีงบซื้อ Clamp meter มาใช้วัดไฟรั่วนะครับ
ถ้าไม่มีใช้ก็ซื้อๆมาใช้เถอะครับ ชีวิตเจ้าหน้าที่มีค่ากว่าของราคาแค่นี้เยอะ

ภาพประกอบจาก http://www.priceza.com/s/%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2/Clamp-Meter",209,12,3851,228,64,2016-01-12 12:00:44.000000 UTC,2016,1,dramaadd
"มอนิ่งงงงง เช้าวันพุธ นะคะ

มาเช้าหน่อย เพราะเมื่อวานไม่ได้เข้าเพจเลย  เช้านี้เข้าเพจมาเช็คอินบ๊อกซ์ (อินบ๊อกซ์ In box แปลว่าในกล่องจดหมาย ไม่ใช่ อินบล๊อค อินบล๊อค บล๊อคพ่องงงง กูเห็นใช้กันเกลื่อนไปหมดแล้ว ต้อง ""อินบ๊อกซ์ ""นะคะ)

มีข้อความส่งความเป็นห่วง ถามอาการผ่าตัดคุณนายแม่เข้ามา เยอะจนผมแปลกใจ ที่คนไม่รู้จักหน้าค่าตากัน จะห่วงใยกันได้ขนาดนี้ เยอะมากตอบไม่หมด ขอตอบรวมทุกท่าน ตรงนี้เลยนะคะ ว่า 
ขอบคุณมากๆๆๆๆๆๆๆ การผ่าตัดเป็นไปด้วยดี ตอนนี้นางกำลังพักฟื้นอยู่ คงต้องนอน รพไปอีกสักหลายวัน 55555 หวังว่านางจะกลับเข้าสู่สภาพปกติในเร็วๆนี้ 

ขอบคุณทุกคนมากๆทั้งที่ไถ่ถาม หรือแค่ส่งใจเป็นห่วงมา 
ขอบคุณมากนะครับ ถ้าช่วงนี้ เพจหนูกระปริบกระปรอยหน่อย ก็หวังว่าจะเข้าใจนะคะ 
แต่สัญญาว่าจะทำหน้าที่ ลูกที่พอใช้ได้ กะ แอดมินเพจที่เหี้ยที่สุดในโลก ให้ดีที่สุด 5555555

คิดถึง และรักทุกๆคนมากนะครับ
ขอบคุณมากจริงๆ <3",810,19,38023,846,224,2016-01-12 19:08:00.000000 UTC,2016,1,ejeab
"ถึงจะติดภารกิจส่วนตัว แต่เรื่องหน้าที่หนูไม่ลืมนะคะ 

บอลชิงแชมป์ เอเชีย U23 (มาจาก Under 23 คือ สูงไม่เกิน 23 เซ็น) คืนนี้ ห้าทุ่มครึ่ง ถ่ายสดทางช่อง 7 กะช่องนนทรี

ทีมชาติซาอุดี้อาระเบีย บ้านเกิดเหล่าเจ็กหนูเอง ท่านเป็นนักรบเผ่าเบดูอิน แตกทัพว่ายน้ำข้ามทะเลทรายจากรุงริยาด มาตั้งรกรากอยู่ที่แถวประดิษฐ์มนูธรรม
 
สุดยอดทีมซาอุดี้อาระเบีย เจอกะบอลเบๆบ้านๆ พื้นๆ ทีมชาติไทย ซึ่งทีมไทยส่วนมากผู้เล่นอ่อนหัด ยังเรียนอยู่ปวส.บ้าง อาชีวะบ้าง ไม่มีประสบการณ์เล่นอาชีพ และเป็นทีมจากเมืองร้อน ไม่คุ้นสภาพอากาศของกาต้าร์ เจอทีมซาอุดี้ของหนูซึ่งเป็นทีมเมืองหนาว เดินหน้าบุกใส่ ในระบบ 16-16-16 ตรากระต๋าย ของเจียไต๋กรุ๊ป ไม่น่าทานทนได้ 

ซาอุดี้ เคี้ยวสบายๆ ไทยขนมกรุบ สองเม็ดมีแน่ ฟันธง!!!!

ซาอุดี้สู้สู้ ซาอุดี้สู้ตาย 

1 2 123 12 12 1 เฮ้!!!!!",736,2,22938,812,287,2016-01-13 02:01:58.000000 UTC,2016,1,ejeab
"มาต่อเรื่องวัคซีนกันอีกซักสเตตัส ไอ้พวกลัทธิต้านการฉีดวัคซีนเนี่ย มันชอบอ้างว่า นี่ไง ลูกชั้นไม่ฉีดวัคซีนก็แข็งแรงดี ไม่เห็นจะป่วยไข้อะไรเลย

คือ ลูกมึงได้อานิสงค์จากลูกชาวบ้านที่เขาฉีดวัคซีนน่ะครับ
กรณีนี้เรียกว่า herd immunity หรือภูมิคุ้มกันหมู่

หมายถึงถ้าคนในสังคมส่วนมากฉีดวัคซีนป้องกันโรคจนมีภูมิต้านทานต่อโรคนั้น พอมีคนส่วนน้อยที่ไม่ได้ฉีดวัคซีนโผล่มา ส่วนมากก็ไม่ค่อยมีปัญหาอะไรหรอกครับ เพราะตัวเชื้อที่จะแพร่ระบาดมันไม่ค่อยมีเพราะคนส่วนมากมีภูมิต้านทานกันหมดแล้ว ตามหลักคือคนในสังคมต้องฉีดวัคซีนเกิน 95% ของประชากร จึงจะเกิดภูมิคุ้มกันหมู่

ทีนี้ปัญหาคือพอไอ้ลัทธิสติแตกนี่มันแพร่ขยายมากขึ้น คนก็เสือกเชื่อว่าไม่ฉีดวัคซีนไม่เป็นไรมากขึ้น จนสัดส่วนคนไม่ฉีดวัคซีนในสังคมอเมริกาเพิ่มมากขึ้น ผลคือภูมิคุ้มกันหมู่ก็ลดลงน่ะสิครับ เพราะคนฉีดวัคซีนมันไม่ถึง 95% แล้ว ทีเหี้ยคือพวกเซเลปคนดังในสังคมอเมริกา เสือกเข้ารีตลัทธินี้กันเยอะ แล้วมาพูดออกทีวีให้คนกลัวการฉีดวัคซีนเป็นระยะ

ผลคือพอเกิดเชื้อแพร่ระบาด คนที่ไม่ได้ฉีดวัคซีนมันก็ติดโรคแล้วแพร่กระจายกันไปเรื่อยๆ มีแค่คนส่วนนึงที่ฉีดวัคซีนเท่านั้นที่รอดตัวไม่ติดเชื้อตามไปด้วย

ซึ่งนี่คือสถานการณ์ในปัจจุบันของอเมริกาครับ ปัจจุบันมีประมาณ 26 รัฐ ที่คนฉีดวัคซีนไม่ถึง 95 % ทำให้โรคที่ควรจะมีคนติดเชื้อปีนึงไม่มากอย่าง หัด หัดเยอรมัน มีคนติดเชื้อพุ่งกระฉูดในปีที่ผ่านมาเกือบสี่เท่าตัว

ก็หวังว่าบ้านเราจะไม่เจริญรอยอเมริกานะครับ น่ากลัวฉิบหาย

สรุปคือการฉีดวัคซีนนั้นไม่ได้ทำเพื่อให้ตัวเรามีภูมิคุ้มกันคนเดียว แต่หากคนช่วยกันฉีดวัคซีนให้เยอะๆอย่างพร้อมเพรียง มันจะเป็นการสร้างภูมิคุ้มกันหมู่ให้กับสังคม หรือดีที่สุดคือ สามารถกำจัดเชื้อพวกนั้นให้หายไปแบบถาวรได้เลย ดังนั้นอย่าไปหลงเชื่อลัทธิสติแตกพวกนี้ จงเชื่อมั่นและศรัทธาในการฉีดวัคซีน ขอบคุณครับ

http://www.siamintelligence.com/vaccines-war-in-america/
http://www.vaccines.gov/basics/protection/",1700,2,2282,80,233,2016-01-13 02:25:00.000000 UTC,2016,1,dramaadd
"ค่านิยมผิวขาวในบ้านเรา ได้มาถึง ณ จุดจุดนี้แล้วคนับ

ปล.ใครสนใจ อยากได้แบบสดๆ ไม่ใช่หัวเชื้อ ติดต่อได้ครับ เด๋วรีดให้ทาหน้ากันสดๆเลย",132,9,14547,1323,3596,2016-01-13 09:57:51.000000 UTC,2016,1,dramaadd
"ลาก่อย ชาร์ลี ชีน

ชาร์ลี ชีน ดาราฮอลลีวูดนักเย็ดตัวยง ที่เพิ่งเปิดเผยว่าตัวเองติดเชื้อ HIV เมื่อปีที่ผ่านมา วันสองวันนี้แกทำให้โลกตกตะลึงอีกแล้ว เมื่อออกมาประกาศว่า จะเลิกการกินยาต้านไวรัสรักษาการติดเชื้อ HIV

ชาร์ลี ชีน ให้เหตผลว่า ""แบบว่าต้องกินยาทุกวั๊นทุกวัน ก็เลยอยากรู้ว่าถ้าวันนึงเราเลิกกินยาขึ้นมามันจะเป็นยังไง น่าลองดีนะ"" 

แค่นั้นไม่พอ ชาร์ลี ชีน ยังเปิดเผยในรายการอีกว่า เขาเลิกกินยาต้านไวรัส แล้วไปรักษากับหมอ  Samir Chachoua ซึ่ง เอ่อ.....เอาง่ายๆก็เป็นหมอที่ไม่มีใบประกอบวิชาชีพในอเมริกานั่นล่ะครับ ซึ่งไอ้หมอนี่มันเคลมว่าสามารถรักษามะเร็ง HIV และโรคอีกสารพัด ด้วยวิธีการที่ เอ่อ... ไม่มีหมอคนไหนยอมรับ

อย่างของ ชาร์ลี ชีนนี่ตอนมันไปรักษากับหมอนี่ ก็ใช้วิธี เอาเลือดคนอื่นมาฉีดใส่ตัวชาร์ลี ชีน

ก็เป็นสิทธิส่วนตัวของชาร์ลี ชีนนะ แต่น่าเสียดายที่ชาร์ลี ชีน เสียโอกาสไปอย่างน่าเสียดาย การกินยาต้านไวรัสนี่ ไม่ใช่เอะอะอยากเลิกกินก็กินได้เลยนะครับ เพราะการหยุดยาเอาดื้อๆแบบนี้ จะทำให้เกิดเชื้อดื้อยาในภายหลังได้ และการที่ชาร์ลี ชีน ไม่กินยาต้าน ก็จะทำให้ภูมิต้านทานของเขาแย่ลงในอีกไม่นาน ที่แย่สุดคือ วิธีฉีดเลือดเข้าเส้นนี่ล่ะ อันนี้มันสูตรผีบอกรึไงวะ ถ้าเลือดของคนที่ฉีดเข้ากับชาร์ลีชีนไม่ได้ ก็อาจเกิดปฎิกริยารุนแรงจนถึงขั้นไตวาย หรือเสียชีวิตได้เลย น่ากลัวมาก

พ่อแม่พี่น้องก็ดูไว้เป็นตัวอย่างนะครับ ณ เวลานี้การรักษาการติดเชื้อ HIV ให้หายขาด ยังทำไม่ได้ แต่อีกไม่กี่ปี ได้แน่ ตอนนี้ขอให้กินยาต้านไวรัสให้สม่ำเสมอและรักษาสุขภาพให้แข็งแรงรอให้ถึงวันนั้นครับ

เดบิท http://www.ew.com/article/2016/01/12/charlie-sheen-hiv-alternative-treatment
http://www.eonline.com/news/730348/why-charlie-sheen-temporarily-went-off-his-hiv-medication-amazed-that-he-s-still-alive",1579,12,3481,141,67,2016-01-13 12:28:53.000000 UTC,2016,1,dramaadd
"สัส มึงไปกันทั้งคู่แน่ ทั้งไอ้หมอเถื่อนนั่นทั้งชาร์ลี ชีน เลย

แปล หมอเถื่อนที่ชารืลีชีนไปรักษาด้วย เอาเลือดของชาร์ลีน ชีน ฉีดเข้าตัวเอง เป็นการคอนเฟิรมกับชาร์ ลี ชีน ว่ามันรู้ตัวว่ากำลังทำอะไรอยู่ มันมั่นใจว่าวิธีที่มันใช้รักษาชาร์ลีชีน จะทำให้เขาปลอดเชื้อโดยไม่ต้องกินยาต้านเป็นคนแรกในโลก ถ้ามันไม่มั่นใจในวิธีนี้ก็บรรลัยกันหมดแน่

ครับ มึงบรรลัยกันหมดแน่นอน",360,13,1900,71,24,2016-01-13 13:10:12.000000 UTC,2016,1,dramaadd
"มอนิ่งจ้าาาาาาาา เช้าวันพ้าหรือหัด อีกแล้ว

ไงเมื่อคืน บอลมันส์ชิบหาย ซาอุดี้ทีมชาติเหล่าเจ็กหนูเสมอไทยไปสนุก 1-1 กูชอบสุดไอ้ลูกหลุดเดี่ยวไปสามคนแล้วล้ำหน้านี่แหละ 55555555 ไม่ซวยเหี้ยๆจริงๆ ทำไม่ได้น่ะ จุดโทษก็ยิงไม่เข้าอีก ดวงแม่งจะไม่ชนะจริงๆ

ไม่เป็นไร หนูผิดหวังนิดหน่อยที่ชนะไทยไม่ได้ แต่นัดหน้าไทยเจอญี่ปุ่นทีมบ้านเกิดของลูกสาวคนโตของหลานป้ากู ไทยไม่น่ารอด เม็ดนึงมีแน่ ขนมกรุบ

วันนี้น่าจะเริ่มกลับมาทำเพจได้เต็มที่แล้ว หลังจากกระปริบกระปรอยมาสองสามวัน 
เพราะล่าสุดอาการหลังผ่าตัด คุณนายแขนเหล็กโอเคแล้ว หายมึนจากลูกดอกยาสลบ ของเจ้าหน้าที่ป่าไม้แล้ว 5555555 เมื่อเช้าแวะไปหา พูดไม่หยุด สั่งการเรื่องในบ้านนู่นนี่ดั่งกูเป็นเด็กอายุ 13 พิการทางสมอง อย่าลืมปิดนั่น เปิดนี่นะ แล้วก็ต้อง.... บลาๆๆๆๆๆๆๆ 5555555 กูต้องกดออดเรียกพยาบาลมาสั่งให้หยุดพูด อาทิตย์หน้าคงกลับบ้านได้แล้ว

ขอบคุณทุกความเป็นห่วงหน้าไมค์หลังไมค์ ซาบซึ้งมาก เพื่อน เค้าดูกันตอนลำบากนี่แหละ อ้ออ ตอนแจกของด้วย 55555555 วันนี้ถ้าบ่ายงานไม่เยอะ อาจจะมีแจกกรุบกริบอุ่นเครื่องนะ

เสียดายแค่ว่า ตั้งแต่นี้ กูคงหมดสิทธิ์เอาเรื่องแม่มาอ้างกะหัวล้านแล้ว 5555 ลาโน่นนั่นนี่ไม่ได้แล้ว ฟีนิกซ์จำเป็นต้องกลับมาแล้ว ยังเพลินอยู่เลย แต่ต้องชมหัวล้านมัน จะเหี้ย จะมีเมียน้อยยังไง แต่พอแม่ของลูกน้องป่วยมันไฟเขียวเลยทันที มิน่าบริษัทแม่งไม่ไปไหนสักที 55555

เรื่องอาการป่วยของคุณนายแขนเหล็ก และ การอู้เพจของผม จึงขอจบลงแค่นี้นะ ต่อไปนี้ทุกอย่างกลับมาคึกคักเหมือนเดิม 

ขอบคุณทุกคนที่เข้าใจ และ เป็นห่วง ขอบคุณมาก

ผมรักคุณที่สุดเลยนะ รู้ใช่มั้ย <3",1404,21,22296,814,14,2016-01-13 21:40:18.000000 UTC,2016,1,ejeab
"ที่รัก 

วันนี้ดูทรงแล้ว เค้าแจกของไม่ทันแน่ หยุดไปสองวัน งานสุมหัวมากๆเลยเตง 

เอาเป็นว่าวันนี้เค้าจะเร่งทำงานให้เสร็จ เอางานไปทำต่อที่บ้าน และพรุ่งนี้มาทำงานแต่ตีห้า เคลียร์งานให้เรียบร้อย 
แล้วพรุ่งนี้นะเตง พรุ่งนี้บ่ายสองกง เฝ้าเพจ ได้เลย มาแน่สำหรับใครอยากได้ตุ๊ตาใหญ่ จัดไปเน้นๆเลยถึง 3 ตัว

เตงเข้าใจเค้านะ เค้ารักเตงนาโว้ย <3",333,3,13737,908,8,2016-01-14 03:48:33.000000 UTC,2016,1,ejeab
